move_number,player,piece_type,from_x,from_y,to_x,to_y,captured_piece,winner_after_move,game_over_reason,board_before,board_after
1,Player.BUFFALO,PieceType.BUFFALO,8,0,8,1,,,,BBBBBBBBBBB/.........../.........../.........../.........../...DDCDD.../...........,BBBBBBBB.BB/........B../.........../.........../.........../...DDCDD.../...........
2,Player.HUNTERS,PieceType.DOG,3,5,0,5,,,,BBBBBBBB.BB/........B../.........../.........../.........../...DDCDD.../...........,BBBBBBBB.BB/........B../.........../.........../.........../D...DCDD.../...........
3,Player.BUFFALO,PieceType.BUFFALO,3,0,3,1,,,,BBBBBBBB.BB/........B../.........../.........../.........../D...DCDD.../...........,BBB.BBBB.BB/...B....B../.........../.........../.........../D...DCDD.../...........
4,Player.HUNTERS,PieceType.DOG,7,5,7,3,,,,BBB.BBBB.BB/...B....B../.........../.........../.........../D...DCDD.../...........,BBB.BBBB.BB/...B....B../.........../.......D.../.........../D...DCD..../...........
5,Player.BUFFALO,PieceType.BUFFALO,6,0,6,1,,,,BBB.BBBB.BB/...B....B../.........../.......D.../.........../D...DCD..../...........,BBB.BB.B.BB/...B..B.B../.........../.......D.../.........../D...DCD..../...........
6,Player.HUNTERS,PieceType.DOG,4,5,5,4,,,,BBB.BB.B.BB/...B..B.B../.........../.......D.../.........../D...DCD..../...........,BBB.BB.B.BB/...B..B.B../.........../.......D.../.....D...../D....CD..../...........
7,Player.BUFFALO,PieceType.BUFFALO,4,0,4,1,,,,BBB.BB.B.BB/...B..B.B../.........../.......D.../.....D...../D....CD..../...........,BBB..B.B.BB/...BB.B.B../.........../.......D.../.....D...../D....CD..../...........
8,Player.HUNTERS,PieceType.DOG,5,4,6,3,,,,BBB..B.B.BB/...BB.B.B../.........../.......D.../.....D...../D....CD..../...........,BBB..B.B.BB/...BB.B.B../.........../......DD.../.........../D....CD..../...........
9,Player.BUFFALO,PieceType.BUFFALO,1,0,1,1,,,,BBB..B.B.BB/...BB.B.B../.........../......DD.../.........../D....CD..../...........,B.B..B.B.BB/.B.BB.B.B../.........../......DD.../.........../D....CD..../...........
10,Player.HUNTERS,PieceType.DOG,0,5,0,2,,,,B.B..B.B.BB/.B.BB.B.B../.........../......DD.../.........../D....CD..../...........,B.B..B.B.BB/.B.BB.B.B../D........../......DD.../.........../.....CD..../...........
11,Player.BUFFALO,PieceType.BUFFALO,2,0,2,1,,,,B.B..B.B.BB/.B.BB.B.B../D........../......DD.../.........../.....CD..../...........,B....B.B.BB/.BBBB.B.B../D........../......DD.../.........../.....CD..../...........
12,Player.HUNTERS,PieceType.DOG,0,2,2,2,,,,B....B.B.BB/.BBBB.B.B../D........../......DD.../.........../.....CD..../...........,B....B.B.BB/.BBBB.B.B../..D......../......DD.../.........../.....CD..../...........
13,Player.BUFFALO,PieceType.BUFFALO,5,0,5,1,,,,B....B.B.BB/.BBBB.B.B../..D......../......DD.../.........../.....CD..../...........,B......B.BB/.BBBBBB.B../..D......../......DD.../.........../.....CD..../...........
